Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"R1",1," Fotorresistor"
"R2",1,"1 kΩ Resistor"
"D1",1,"Vermelho LED"
"D2",1,"Verde LED"
"R4, R5",2,"220 Ω Resistor"
