Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"PIR1",1,"-0.7870370370379192 , -154.31178810804266 , -221.15528585432014  Sensor PIR"
"PIEZO1",1," Piezo"
"R1",1,"220 Ω Resistor"
